year,district_name,age,immigrants_percentage
2015,Horta-Guinardó,65-69,1.6524
2015,Horta-Guinardó,70-74,1.2246
2015,Horta-Guinardó,75-79,0.9885
2015,Horta-Guinardó,80-84,0.8262
2015,Horta-Guinardó,85-89,0.9147
2015,Horta-Guinardó,90-94,0.4574
2015,Horta-Guinardó,95-99,0.0885
2015,"Les Corts",>=100,0.0238
2015,"Les Corts",0-4,5.9481
2015,"Les Corts",10-14,3.6165
2015,"Les Corts",15-19,4.4968
2015,"Les Corts",20-24,8.8032
2015,"Les Corts",25-29,17.5589
2015,"Les Corts",30-34,14.7038
2015,"Les Corts",35-39,11.3490
2015,"Les Corts",40-44,8.3512
2015,"Les Corts",45-49,5.2581
2015,"Les Corts",5-9,3.7592
2015,"Les Corts",50-54,4.6158
2015,"Les Corts",55-59,2.7837
2015,"Les Corts",60-64,2.0224
2015,"Les Corts",65-69,2.2127
2015,"Les Corts",70-74,1.6179
2015,"Les Corts",75-79,0.9041
2015,"Les Corts",80-84,0.9041
2015,"Les Corts",85-89,0.7138
2015,"Les Corts",90-94,0.2617
2015,"Les Corts",95-99,0.0952
2015,"No consta",>=100,0.0000
2015,"No consta",0-4,16.6667
2015,"No consta",10-14,0.0000
2015,"No consta",15-19,0.0000
2015,"No consta",20-24,33.3333
2015,"No consta",25-29,0.0000
2015,"No consta",30-34,16.6667
2015,"No consta",35-39,16.6667
2015,"No consta",40-44,16.6667
2015,"No consta",45-49,0.0000
2015,"No consta",5-9,0.0000
2015,"No consta",50-54,0.0000
2015,"No consta",55-59,0.0000
2015,"No consta",60-64,0.0000
2015,"No consta",65-69,0.0000
2015,"No consta",70-74,0.0000
2015,"No consta",75-79,0.0000
2015,"No consta",80-84,0.0000
2015,"No consta",85-89,0.0000
2015,"No consta",90-94,0.0000
2015,"No consta",95-99,0.0000
2015,"Nou Barris",>=100,0.0000
2015,"Nou Barris",0-4,4.6210
2015,"Nou Barris",10-14,3.9870
